s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
297.4090597,89675.3590844,43168.5055371,-2.2545415,-0.0954741,9.4741694,2.2476398
298.4683306,89676.1434421,43167.7936118,-2.3637528,-0.1104071,9.7222222,0.0000000
299.5060656,89676.8278390,43167.0135510,-2.4801196,-0.1163989,9.7222222,0.0000000
300.5178380,89677.4018957,43166.1803989,-2.5940682,-0.1026128,9.7222222,0.0000000
301.5374392,89677.8904340,43165.2854593,-2.6870304,-0.0864014,9.7222222,0.0000000
302.5244186,89678.2880803,43164.3821289,-2.7623108,-0.0596249,9.7222222,0.0000000
303.5318251,89678.6337763,43163.4358932,-2.8199427,-0.0572692,9.7222222,0.0000000
304.5458906,89678.9257349,43162.4647655,-2.8792446,-0.0577980,9.7222222,0.0000000
305.5818645,89679.1636110,43161.4564714,-2.9417119,-0.0644048,9.7222222,0.0000000
306.6034188,89679.3343337,43160.4492838,-3.0056796,-0.0646987,9.7222222,0.0000000
